Tribun 1,Baris,Nomor Kursi,Expected Data String)
P Atas,27,401 - 422,
P Atas,28,401 - 422,
P Atas,29,401 - 422,
P Atas,30,401 - 422,
P Atas,31,401 - 422,
P Atas,32,401 - 422,
P Atas,33,401 - 422,
P Atas,34,401 - 422,
K Bawah,1,27 - 29,
K Bawah,2,27 - 29,
K Bawah,3,27 - 29,
K Bawah,4,18 - 30,
K Bawah,5,18 - 30,
K Bawah,6,18 - 31,
K Bawah,7,18 - 31,
K Bawah,8,-,
K Bawah,9,1 - 12,
K Bawah,10,1 - 13,
K Bawah,11,1 - 31,
K Bawah,12,1 - 32,
K Bawah,13,1 - 32,
K Bawah,14,1 - 35,
K Bawah,15,1 - 35,
K Bawah,16,1 - 37,
K Bawah,17,1 - 37,
K Bawah,18,-,
K Atas,19,1 - 19,
K Atas,20,1 - 19,
K Atas,21,1 - 20,
K Atas,22,1 - 21,
K Atas,23,1 - 21,
K Atas,24,1 - 22,
K Atas,25,1 - 23,
K Atas,26,-,
K Atas,27,1 - 29,
K Atas,28,1 - 29,
K Atas,29,1 - 30,
K Atas,30,1 - 31,
K Atas,31,1 - 32,
K Atas,32,1 - 32,
K Atas,33,1 - 33,
K Atas,34,1 - 33,
K Bawah,1,51 - 87,
K Bawah,2,51 - 87,
K Bawah,3,51 - 87,
K Bawah,4,51 - 87,
K Bawah,5,51 - 88,
K Bawah,6,51 - 88,
K Bawah,7,51 - 89,
K Bawah,8,-,
K Bawah,9,51 - 81,
K Bawah,10,51 - 82,
K Bawah,11,51 - 82,
K Bawah,12,51 - 83,
K Bawah,13,51 - 83,
K Bawah,14,51 - 83,
K Bawah,15,51 - 83,
K Bawah,16,51 - 84,
K Bawah,17,51 - 84,
K Bawah,18,-,
K Atas,19,51 - 67,
K Atas,20,51 - 68,
K Atas,21,51 - 68,
K Atas,22,51 - 68,
K Atas,23,51 - 69,
K Atas,24,51 - 70,
K Atas,25,51 - 71,
K Atas,26,-,
K Atas,27,51 - 77,
K Atas,28,51 - 78,
K Atas,29,51 - 78,
K Atas,30,51 - 79,
K Atas,31,51 - 79,
K Atas,32,51 - 80,
K Atas,33,51 - 80,
K Atas,34,51 - 81,
L Atas,19,101 - 117,
L Atas,20,101 - 117,
L Atas,21,101 - 117,
L Atas,22,101 - 118,
L Atas,23,101 - 118,
L Atas,24,101 - 118,
L Atas,25,101 - 119,
L Atas,26,-,
L Atas,27,101 - 125,
L Atas,28,101 - 125,
L Atas,29,101 - 126,
L Atas,30,101 - 126,
L Atas,31,101 - 127,
L Atas,32,101 - 127,
L Atas,33,101 - 128,
L Atas,34,101 - 128,
L Atas,19,151 - 167,
L Atas,20,151 - 167,
L Atas,21,151 - 167,
L Atas,22,151 - 167,
L Atas,23,151 - 167,
L Atas,24,151 - 167,
L Atas,25,151 - 167,
L Atas,26,-,
L Atas,27,151 - 172,
L Atas,28,151 - 172,
L Atas,29,151 - 172,
L Atas,30,151 - 172,
L Atas,31,151 - 172,
L Atas,32,151 - 172,
L Atas,33,151 - 172,
L Atas,34,151 - 172,
